t,yA,yT
0.222,0.9065102042148667,0.9061340734022499
0.223,0.905705223153524,0.9053279728448793
0.224,0.904897334094471,0.9045189713147219
0.225,0.9040865460831224,0.903707077873196
0.226,0.9032728681916476,0.902892301608292
0.227,0.9024563095188024,0.9020746516344028
0.228,0.9016368791897593,0.9012541370921545
0.229,0.9008145863559383,0.9004307671482367
0.23,0.8999894401948362,0.8996045509952315
0.231,0.8991614499098569,0.8987754978514436
0.232,0.8983306247301402,0.8979436169607287
0.233,0.8974969739103906,0.8971089175923225
0.234,0.8966605067307062,0.8962714090406687
0.23500000000000001,0.8958212324964062,0.895431100625247
0.23600000000000002,0.8949791605378596,0.894588001690401
0.23700000000000002,0.8941343002103119,0.8937421216051649
0.23800000000000002,0.8932866608937126,0.8928934697630906
0.23900000000000002,0.8924362519925417,0.8920420555820747
0.24,0.8915830829356368,0.8911878885041844
0.241,0.8907271631760186,0.8903309779954833
0.242,0.889868502190717,0.8894713335458574
0.243,0.8890071094805964,0.8886089646688402
0.244,0.8881429945701812,0.8877438809014379
0.245,0.8872761670074807,0.8868760918039538
0.246,0.8864066363638133,0.8860056069598131
0.247,0.8855344122336314,0.8851324359753873
0.248,0.8846595042343446,0.8842565884798167
0.249,0.8837819220061441,0.8833780741248359
0.25,0.882901675211826,0.8824969025845955
0.251,0.8820187735366142,0.8816130835554857
0.252,0.8811332266879834,0.8807266267559596
0.253,0.8802450443954819,0.8798375419263547
0.254,0.8793542364105537,0.8789458388287156
0.255,0.8784608125063605,0.8780515272466163
0.256,0.877564782477604,0.8771546169849813
0.257,0.876666156140347,0.8762551178699075
0.258,0.8757649433318347,0.8753530397484852
0.259,0.8748611539103163,0.8744483924886194
0.26,0.8739547977548652,0.8735411859788501
0.261,0.8730458847652001,0.8726314301281735
0.262,0.8721344248615052,0.8717191348658613
0.263,0.8712204279842503,0.870804310141282
0.264,0.8703039040940108,0.8698869659237202
0.265,0.8693848631712875,0.8689671122021958
0.266,0.8684633152163259,0.8680447589852844
0.267,0.8675392702489357,0.8671199163009361
0.268,0.8666127383083099,0.8661925941962944
0.269,0.8656837294528433,0.8652628027375152
0.27,0.864752253759952,0.864330552009586
